predictor_group,n_features,baseline_mae,mean_mae_increase,ci_95_low,ci_95_high,permutations
PM2.5 rolling summaries,8,32.046935208215054,27.565476359406283,27.466532135513432,27.688336492389354,20
calendar,9,32.046935208215054,6.494779201108189,6.412433873524667,6.5507998198856665,20
current PM2.5,1,32.046935208215054,5.82810638773604,5.764824762405531,5.8620552668668156,20
meteorology,9,32.046935208215054,1.7216022447778319,1.6896269004850266,1.7472381837413908,20
gaseous pollutants,12,32.046935208215054,0.7791795696501467,0.7633764630350288,0.8000455609408907,20
PM2.5 lag features,9,32.046935208215054,0.17191732840415455,0.15047239998088138,0.187800043515829,20
availability counts,23,32.046935208215054,0.0017282458793921763,-0.0011084139970586548,0.0039062355799487133,20
